alk_Q1,alk_Q2,alk_Q3,alk_Q4,pH_Q1,pH_Q2,pH_Q3,pH_Q4,DBPsf_Q1,DBPsf_Q2,DBPsf_Q3,DBPsf_Q4,wc_freq_TTHM,wc_freq_HAA5,expect_solids,expect_lime,expect_co2
5.56,19.67,25.81,26.93,6.29,7.08,6.31,6.07,0.75,0.02,0.02,0.66,0.25,0.07,18.0,41.6,39.8
33.32,28.78,12.57,25.61,7.77,9.48,6.41,6.51,0.19,0.69,0.02,0.13,0.30,0.00,20.5,20.4,11.1
27.88,22.57,9.47,23.84,7.69,6.33,6.64,6.83,0.22,0.03,0.07,0.20,0.30,0.09,19.0,19.9,12.2
13.03,13.84,23.03,15.69,7.63,7.39,7.38,7.65,0.75,0.42,0.04,0.18,0.25,0.05,20.4,11.7,0.7
10.71,24.16,13.85,11.46,6.51,7.87,6.28,6.23,0.26,0.03,0.08,0.20,0.30,0.02,18.7,31.3,26.5
3.78,21.46,5.91,11.23,6.47,7.13,6.02,6.44,0.46,0.06,0.03,0.22,0.30,0.05,18.2,31.9,27.8
7.43,21.64,28.32,13.53,6.22,7.18,6.18,6.21,0.56,0.07,0.09,0.42,0.25,0.05,18.1,42.3,40.6
27.23,9.23,25.02,14.91,6.50,6.87,6.46,6.32,0.29,0.74,0.02,0.70,0.25,0.07,18.5,29.7,24.8
10.69,22.20,27.86,9.18,6.58,6.93,6.34,6.29,0.24,0.66,0.02,0.52,0.25,0.05,18.5,31.5,26.9
30.40,24.31,10.28,15.38,7.53,7.86,6.63,6.91,0.12,0.59,0.02,0.05,0.30,0.02,20.1,15.0,5.1
9.16,24.46,32.91,8.35,6.00,7.95,6.01,6.00,0.02,0.02,0.02,0.60,0.25,0.02,18.0,64.7,68.1
